case,pedestal_fraction,rho_source_mean,raw_total_neutron_rate_n_per_s,scale_to_fixed_power,blanket_tritium_g_m3_yr,blanket_tritium_std,blanket_fast_flux_n_cm2_s,blanket_fast_flux_std,first_wall_fast_flux_n_cm2_s,first_wall_fast_flux_std,tbr_to_fw_flux_ratio
L-mode reference,,0.332590888191374,3.150940837950319e+18,1.0,13.121855392115318,0.014453508445908151,4.742596338234003e+19,7.0052555669335656e+16,4.6267278219049153e+20,4.138647536184551e+17,2.836098404144463e-20
A-like 0.55,0.55,0.3106177661686437,3.06835165392444e+18,1.0269164663444774,13.123657111660975,0.014488714535566764,4.623366237537188e+19,6.472317252156315e+16,4.673005446062755e+20,4.9120740292963514e+17,2.808397564081233e-20
A-like 0.65,0.65,0.35241618271851466,4.1236712744519286e+18,0.7641105772596062,13.216182843499135,0.016842427159070156,5.0872503172605125e+19,5.6889930207483864e+16,4.533344528036816e+20,3.848454559600061e+17,2.9153272516047793e-20
A-like 0.75,0.75,0.3954931188235189,5.331932225533909e+18,0.5909566559869021,13.335555932167479,0.01713333700545334,5.67932215269468e+19,5.4980187154055944e+16,4.36076017779684e+20,5.530766830483672e+17,3.058080561289871e-20
A-like 0.85,0.85,0.43929453372872507,6.688650069340808e+18,0.47108770907204245,13.47806202854159,0.018422187142749746,6.442536629463275e+19,1.011907564350974e+17,4.1396737240946416e+20,3.236571313103569e+17,3.255827132001636e-20
A-like 0.95,0.95,0.48351238576114985,8.189221358289811e+18,0.3847668416925468,13.620299167678818,0.014119832345222003,7.388874573427296e+19,8.304269230454629e+16,3.8865573154046194e+20,4.1930765547379206e+17,3.5044637354745514e-20
